Business Unit,Level,FLSA,Tenure,Cared_About,Excited,Helpful_Info,Trust_Leaders,Morale
IT,Sr,Exempt,5+y,2.4731147112358975,2.1444915202044803,2.688007544439868,1.93521449796571,2.528922570556497
Sales,Entry,Exempt,<1y,4.3792070028212295,4.147104475669221,5.0,4.650858832469801,4.5771601894433065
Sales,Entry,Non-Exempt,<1y,4.602895262818102,4.676738711418942,4.2646880037356505,4.377381706068705,3.6516137557657244
IT,Mid,Exempt,1-3y,3.1031036455047887,2.7830150179802184,3.1757086531237784,1.0,2.4401898449303254
HR,Entry,Exempt,<1y,4.654503210999942,5.0,4.68269434012199,4.4846827259567945,4.459866133414044
IT,Entry,Non-Exempt,<1y,4.4569803326714545,5.0,4.107234657028746,4.348653781894959,4.179379051616001
IT,Mid,Exempt,1-3y,2.586355363141358,3.0501533392338263,3.134563243209553,1.6611930810452034,2.4371888174710308
Sales,Exec,Exempt,5+y,3.4067267239547347,2.1685158879879105,2.0752443071650526,1.780201919690899,2.334164708639303
IT,Entry,Exempt,<1y,4.808709183548881,4.395649550631448,3.8190796660884456,4.2569688202325615,4.981208966156646
HR,Entry,Exempt,<1y,4.362307316524756,4.5163810783576075,5.0,3.733513411154961,4.3928545843764955
IT,Entry,Exempt,3-5y,4.131418533230241,3.9661966338261636,4.065548001058615,4.109861353289587,4.206894000314006
IT,Mid,Exempt,1-3y,2.981665888106724,2.513222156716366,3.323991908857083,1.596776731760997,2.0655050736448217
R&D,Exec,Exempt,5+y,2.3117434596140596,2.0432107939824347,1.9541305933373114,1.4263108957751154,2.670685396688251
Sales,Entry,Exempt,5+y,4.060241295359512,4.058560267105631,4.401070439511933,4.452624129090169,4.790162495381813
IT,Mid,Exempt,1-3y,2.9762405659051967,3.146979550994443,3.163284563984889,1.0,2.1290227174877296
R&D,Exec,Non-Exempt,<1y,4.45760540466378,4.207039367486883,3.2698109480815187,3.7777903412754434,4.6865434228635205
Sales,Exec,Exempt,5+y,1.0,2.4763285188409894,2.1361909230251834,1.6927628513540787,2.174007009680799
IT,Mid,Exempt,1-3y,2.968380837776924,2.5850822727536196,3.0651494822287226,1.6437134305001693,3.024201091131018
IT,Entry,Non-Exempt,<1y,4.807320482487772,4.537647654481313,4.022345676453552,4.043337457101185,4.329675538867616
